	ST-00010415_t1	ST-00010415_t2	ST-00010421_t1	ST-00010421_t2	ST-00011458_t1	ST-00011458_t2	ST-00044073_t1	ST-00044073_t2	ST-00044885_t1	ST-00044885_t2	ST-00045433_t1	ST-00045433_t2	ST-00057286_t1	ST-00057286_t2	ST-00057532_t1	ST-00057532_t2	ST-00060623_t1	ST-00060623_t2	ST-00062958_t1	ST-00062958_t2	ST-00075023_t1	ST-00075023_t2	ST-00128432_t1	ST-00128432_t2	ST-00177454_t1	ST-00177454_t2	ST-00242187_t1	ST-00242187_t2	ST-00286016_t1	ST-00286016_t2	ST-00286572_t1	ST-00286572_t2	ST-00287578_t1	ST-00287578_t2	ST-00295414_t1	ST-00295414_t2	ST-00319255_t1	ST-00319255_t2	ST-00320227_t1	ST-00320227_t2	ST-00339988_t1	ST-00339988_t2	ST-00360236_t1	ST-00360236_t2	ST-00418342_t1	ST-00418342_t2	ST-00423444_t1	ST-00423444_t2	ST-00466055_t1	ST-00466055_t2	ST-00505289_t1	ST-00505289_t2	ST-00525539_t1	ST-00525539_t2	ST-00531850_t1	ST-00531850_t2	ST-00550067_t1	ST-00550067_t2	ST-00596988_t1	ST-00596988_t2	ST-00597582_t1	ST-00597582_t2	ST-00606222_t1	ST-00606222_t2	ST-00611296_t1	ST-00611296_t2	ST-00616972_t1	ST-00616972_t2	ST-00622319_t1	ST-00622319_t2	ST-00624870_t1	ST-00624870_t2	ST-00630737_t1	ST-00630737_t2	ST-00631493_t1	ST-00631493_t2	ST-00632345_t1	ST-00632345_t2	ST-00634998_t1	ST-00634998_t2	ST-00641613_t1	ST-00641613_t2	ST-00648002_t1	ST-00648002_t2	ST-00651926_t1	ST-00651926_t2	ST-00652037_t1	ST-00652037_t2	ST-00653378_t1	ST-00653378_t2	ST-00656708_t1	ST-00656708_t2	ST-00659767_t1	ST-00659767_t2	ST-00660767_t1	ST-00660767_t2	ST-00685031_t1	ST-00685031_t2	ST-00705243_t1	ST-00705243_t2	ST-00705245_t1	ST-00705245_t2	ST-00708220_t1	ST-00708220_t2	ST-00709819_t1	ST-00709819_t2	ST-00711931_t1	ST-00711931_t2	ST-00714687_t1	ST-00714687_t2	ST-00718962_t1	ST-00718962_t2	ST-00723045_t1	ST-00723045_t2	ST-00730777_t1	ST-00730777_t2	ST-00731125_t1	ST-00731125_t2	ST-00731336_t1	ST-00731336_t2	ST-00731705_t1	ST-00731705_t2	ST-00732959_t1	ST-00732959_t2	ST-00739471_t1	ST-00739471_t2	ST-00745902_t1	ST-00745902_t2
DAS28	l	l	l	l	l	l	l	m	l	l	m	m	l	l	l	m	l	l	l	l	m	m	l	l	m	l	h	m	l	l	l	l	l	l	l	l	l	l	m	m	m	l	m	l	m	l	h	h	m	h	l	l	l	l	l	l	l	h	m	m	l	l	l	m	l	l	l	m	l	l	l	l	l	m	m	m	h	l	l	m	l	l	l	l	m	l	m	m	m	m	m	m	m	m	m	l	m	l	l	l	h	h	l	l	l	l	l	h	m	m	m	m	l	l	m	m	l	m	h	h	l	m	l	l	l	l	l	l
100000257	1.5674	1.8382	0.8284	0.7866	1.1446	0.9489	1.3206	1.9863	1.0318	0.8404	0.9790000000000001	0.9148	0.9563	0.7273	1.2137	1.7009	1.0817	1.4051	0.9944	1.3295	0.7182	0.7203	0.64	0.6648	1.4278	1.2107	0.9831	3.7389	1.0542	1.0056	0.6909	0.769	1.1026	1.196	0.726	0.7409	1.5816	1.4161	0.9158	0.8349	2.4329	2.4419	0.8074	0.9235	1.2537	1.2244	2.8022	2.5481	1.1809	1.6955	1.5779	0.8286	1.3478	1.3566	0.5634	0.6075	3.3789999999999996	2.5682	0.8179	0.6907	0.9274	1.0322	0.7363	0.625	1.0221	1.2119	1.4668	1.5792	0.9272	1.2374	0.703	0.55	1.1624	1.1697	1.4794	1.1997	1.4288	0.7038	0.5266	0.5629	0.9305	0.8393	0.9446	1.2642	0.6457	0.8011	1.0169	1.0469	0.9682	0.8425	0.8726	0.9134	1.6121	1.5601	1.6976	1.7758	1.6626	1.5785	0.8179	0.8159	1.3695	0.701	0.9709	0.9252	0.6474	0.6092	0.648	1.0526	0.929	0.7985	6.1281	3.8848	0.6014	0.7235	1.5981	0.5245	0.5419	0.5822	1.9211	0.5332	0.7314	0.5741	1.4752	1.38	1.2404	1.2148	0.8474	1.1452
100001251	1.5521	2.2074	1.01	0.9364	0.3681	0.5644	3.0763	5.6266	0.8154	2.0158	1.1013	0.9515	0.5441	0.8663	0.6609999999999999	0.7994	1.8394	1.3587	1.3124	1.5042	1.5444	0.5817	0.8501	1.1391	0.606	2.5340000000000003	0.7074	1.044	1.3057	1.5072	4.6918	1.5602	1.5149	1.4103	3.0839999999999996	2.2702	1.058	2.0175	0.2436	0.5395	2.1038	1.1843	1.1951	2.9526	1.7419	2.0617	0.4488	0.5686	1.0215	1.0971	3.2769999999999997	1.4075	1.2577	0.99	2.6346	2.1909	1.1579	0.4343	0.5523	1.0656	1.1417	1.1448	0.8490000000000001	1.5303	0.6741	0.7766	1.4182	0.8935	1.1836	0.9513	0.6545	0.6128	1.1135	0.7327	1.0332	1.2469	1.2867	0.7256	1.2683	0.7457	1.7663	1.6984	1.496	0.5693	0.4941	0.4088	0.5282	0.5973	2.574	0.3532	0.747	0.2669	0.2714	0.2709	0.7896	0.2117	2.4036	2.995	0.8562	0.9668	1.1862	0.8229	0.7946	0.5938	1.8625	2.0783	0.5294	0.4674	1.2679	1.6906	0.2544	0.5217	0.8062	0.8745	2.735	4.7403	0.7182	1.234	1.3115	1.4199	0.8022	2.7852	1.4789	0.2195	0.6363	1.1855	0.7483	0.7307
100006620	1.5498	1.6711	1.374	0.7959	0.4373	0.4249	2.2215	3.6455	0.7414	1.3925	0.9103	1.0395	0.6938	0.9916	0.8279	0.9061	1.9799	1.3012	1.1324	1.2777	1.6476	0.5831	0.6866	0.8193	0.7347	1.5207	0.7939	0.7571	1.2342	1.6037	4.5003	1.614	1.0958	1.0676	2.6398	1.4531	0.8384	1.5276	0.5923	0.6408	1.8581	1.1938	1.1098	2.7738	1.3725	1.9839	0.5446	0.5594	1.3939	1.501	2.7913	1.3564	1.0406	0.9806	2.7764	3.1365	1.1394	0.6103	0.6038	1.012	1.0008	1.3378	1.245	1.5305	1.0347	0.789	1.4958	0.956	1.2657	0.9234	0.6822	0.7059	0.8701	0.9757	0.7909999999999999	1.1126	1.359	0.9906	0.9329	0.8799	1.7257	2.2408	1.5303	0.6461	0.795	0.6912	0.5949	0.7440000000000001	1.9224	0.3265	0.8317	0.4364	0.4384	0.4645	0.7572	0.3112	1.8273	2.5641	0.7125	0.9992	1.4851	1.2866	0.7855	0.7039	1.4812	1.6253	0.3693	0.4522	1.0399	1.6105	0.3653	0.6719	0.7651	0.8834	2.7999	4.0067	0.6585	1.0979999999999999	1.0826	1.0358	1.0084	2.7599	1.6053	0.3783	0.9477	1.2582	0.8441	0.6846
1114	1.1205	1.0876	0.965	0.8319	0.3046	0.36	3.1501	2.4262	0.6436	0.8005	0.5702	0.8807	1.5475	1.047	0.7665	1.3156	1.8722	0.8432	0.9032	0.5565	1.0144	0.6685	2.9881	3.0755	0.9349	0.9922	0.48200000000000004	0.7862	1.2695	1.2472	1.2633	1.4001	1.9367	1.9268	0.978	0.9039	0.5979	1.4612	0.9657	0.8646	1.5514	1.7268	0.6811	0.9895	0.5256	0.3682	1.0188	1.6732	1.1482	0.36	0.8103	0.6993	1.7735	1.4207	1.4124	2.3722	0.8923	0.5649	0.7984	1.146	2.2815	2.2569	0.6952	0.6576	0.8682	0.8469	0.8136	0.9024	1.0988	1.2958	1.0607	1.0879	0.4567	0.5773	0.3112	0.1666	1.1813	0.8083	0.9388	1.1027	5.2544	0.555	1.9379	1.7138	1.2017	1.5655	2.2237	1.7438	0.7715	0.7238	1.1682	1.0105	0.3275	0.2785	0.644	0.9312	7.475	0.8288	1.3033	1.5394	0.7609	0.677	2.0294	1.2954	0.6991	0.6413	1.4925	1.7326	1.636	1.9325	0.8917	0.7978	0.8458	1.014	0.7894	0.4418	0.8883	0.8197	0.4134	0.6548	1.3289	1.6589	2.0956	1.1818	1.5677	2.0192	0.7199	0.5848
100001987	3.5054	4.6969	0.8481	1.2303	0.0204	0.0204	2.0715	1.8473	0.5944	0.6297	3.6663	2.1376	0.1899	0.1894	0.8616	0.6071	3.6956	1.4069999999999998	7.9712	2.6956	0.461	0.4088	1.4173	1.0815	2.9211	2.2678	1.2218	1.0603	0.4631	0.4772	0.0387	0.0204	0.268	0.3007	0.9744	0.7858	0.0654	0.1228	8.1843	10.0227	4.0628	4.2463	0.0437	0.06	0.1298	0.0782	0.0888	0.0204	1.0	0.1566	8.5838	4.9536	11.588	10.3386	4.7145	5.6585	1.2465	1.1259	2.0463	1.5546	0.1446	0.2949	3.216	3.7757	9.6763	8.9229	2.2515	2.1748	0.8724	1.101	6.6943	6.0587	0.7328	0.7483	0.0204	0.0788	0.1559	0.1795	1.9531	1.8364	0.0204	0.0204	0.0679	0.188	0.1891	0.1076	3.0798	4.5012	0.3016	0.3667	0.6772	0.5803	0.0945	0.2802	0.0204	0.0204	0.0204	0.0204	6.6175	6.8091	1.5136	1.9596	2.779	1.1999	0.598	0.7205	1.3176	0.7594	1.8949	2.1626	0.0224	0.0204	1.025	0.8683	0.6609999999999999	1.6896	8.0784	3.8692	2.2483	2.1523	0.3547	0.4801	0.0204	0.0204	3.3717	4.0652	6.416	6.3534
100006438	6.8041	2.3653	0.2249	0.2257	1.0083	1.0188	0.5762	0.5668	12.6148	0.368	0.0622	0.0532	3.5873	7.1683	9.0063	1.8833	0.1257	0.1695	3.0803	3.0333	0.4438	0.1508	0.5907	0.273	13.3719	1.3674	0.7797	0.1582	0.1488	0.1468	1.6051	0.4475	3.4481	4.8969	4.3205	2.7138	0.7688	0.2337	2.2224	11.1695	0.213	0.5783	1.4668	1.0128	1.1287	3.8404	4.5792	1.9516	5.9244	0.5998	0.8159	0.6318	2.8519	3.9869	0.0839	0.2517	0.9039	1.4296	0.4287	1.8097	2.0586	2.4144	2.6784	0.0854	0.0904	0.1108	3.7192	3.0412	0.1518	0.115	1.0	0.371	1.7995	2.489	3.2598	0.612	0.2152	0.0661	0.0742	0.0737	1.1637	0.0657	3.06	4.7468	0.9373	2.9257	0.1668	0.3642	0.1337	0.2068	3.888	9.3478	0.3295	0.3902	1.6501	2.4099	0.1284	0.0557	0.8022	0.1774	0.0974	0.3775	8.0638	4.7860000000000005	0.1531	0.1457	0.4684	0.1937	2.359	1.5486	0.3262	0.6326	1.3133	2.6708	0.0731	0.0532	6.1801	2.6919	0.1488	0.1681	8.0788	0.3837	2.2611	1.8733	2.3144	2.5334	2.8068	2.1208
100001806	4.5701	1.0479	0.3972	0.9482	0.1024	0.1024	0.1194	0.4831	1.5339	0.1024	0.1307	0.1362	0.7709999999999999	1.1354	2.6962	3.5346	0.2735	2.1479	8.4127	9.2775	0.1262	0.1432	0.2376	0.2405	2.4241	0.1024	0.5832	0.8069	0.13	0.1902	1.0	0.6322	3.4534	3.1064	1.2452	1.9647	0.4496	0.2928	1.1672	2.2627	0.3639	0.3334	0.5865	0.4534	1.2312	0.3869	2.5656	0.5581	1.7079	0.1024	9.2042	0.5955	13.8681	18.7394	0.1024	0.1347	0.5744	0.5134	0.2527	0.9169	2.6939	1.1075	1.5418	0.2556	0.1024	0.1024	3.5062	2.4829	0.1108	0.1514	0.5925	0.1024	1.9156	2.1152	1.5341	0.1024	0.43	0.1784	0.1024	0.1024	0.5625	0.1159	0.953	1.5097	0.6914	1.625	0.1024	0.1024	0.1024	0.2627	1.5174	3.3657	0.1024	0.1024	0.6258	1.9168	0.2439	0.1024	0.1441	0.1024	0.1024	2.7728	2.0537	1.4766	2.0403	10.0159	0.3914	0.4078	5.8161	2.4045	5.4722	8.943999999999999	0.9521	0.7866	0.2331	0.3472	1.6057	2.5199	0.5035	1.2453	1.3567	0.1024	0.8036	1.1321	1.3548	1.9726	0.7833	2.4571
254	0.7078	1.1107	0.9976	0.8214	0.3493	0.6037	21.4822	19.5397	0.4695	2.5819	0.9639	4.23	0.7848	2.9142	0.5133	0.7699	2.9963	0.9044	2.6962	1.8978	1.2435	0.4508	0.8802	0.7746	0.4519	13.5982	0.6729999999999999	3.2539	4.216	2.7238	0.2494	0.4158	7.2664	4.7285	3.5418	1.4467	0.51	0.6584	0.7853	0.6073	1.4902	3.7992	1.6855	2.6332	0.8818	0.4591	1.6094	1.0984	0.7090000000000001	0.6277	5.4159	1.0113	2.1755	1.0527	1.8542	5.7567	0.8078	0.4579	2.5503	0.9945	0.8315	0.9917	0.7398	1.3684	2.8578	0.5669	1.5953	1.7118	0.7678	0.7472	0.5431	0.5254	1.8506	3.4912	1.6169	0.607	1.081	0.8462	1.0024	1.0401	0.6726	0.8627	19.5904	0.5476	0.8138	0.4475	2.345	1.8172	2.5326	0.9803	2.1704	1.1534	0.2944	0.6338	1.2632	0.4581	2.0578	2.7445	0.6708	0.782	3.6573	3.3702	1.4443	0.5695	0.9795	0.6609	0.3529	0.2901	2.4595	3.2525	0.6717	0.603	0.759	7.4226	2.5101	2.4506	1.212	8.2931	0.5396	5.2098	0.7753	0.8804	2.0252	1.07	0.7103	8.0763	3.6424	1.0732
100020491	1.0441	2.2953	0.6456	0.977	0.5339	0.1865	0.5529	1.1177	0.5539999999999999	1.3949	0.0757	0.4797	1.5028	0.2459	2.0507	3.3827	2.0845	1.1566	0.5147	0.5177	0.4619	0.2596	0.1378	0.1154	2.4349	0.5382	0.9999	1.0595	0.0757	0.1237	2.0317	0.0757	0.1989	0.0757	0.5787	0.3483	2.044	0.7986	2.8591	1.1583	1.0986	2.5013	0.5142	0.6937	0.49	0.9804	0.6064	0.8823	2.3248	1.1079999999999999	3.1955	3.1728	0.0757	0.0757	0.3685	1.1332	0.5457	0.4196	1.0	0.9074	0.3905	0.0757	1.3733	0.3803	0.7458	1.0001	6.4621	1.8363	0.9629	2.0340000000000003	2.6147	1.3517	1.7789	0.0757	0.0757	0.4687	1.2254	0.5298	0.5637	1.1295	0.38299999999999995	1.1812	1.2196	1.5687	1.1511	0.8059999999999999	2.2189	2.161	1.0471	0.1775	1.1484	1.8811	0.0757	0.981	0.0757	0.5788	0.2279	0.1809	2.305	1.5597	0.818	0.6998	0.0757	0.9583	1.9157	2.4855	1.078	0.5249	1.3087	0.4402	0.5997	0.5241	0.0757	0.0808	0.5332	0.0757	0.0757	0.0757	0.7669	0.1923	0.0757	0.231	2.8839	1.5552	1.1519	2.2991	0.0757	0.0757
100003151	1.8976	1.8922	1.3725	1.1591	1.0706	0.7554	1.4819	2.0291	0.5521	1.0331	0.6084	1.0448	1.3144	0.9703	1.3289	1.0753	1.376	1.4717	1.145	1.6421	0.9567	0.7239	1.1997	1.2136	0.8846	1.0822	1.1196	1.0841	0.7841	0.9286	1.4208	0.8797	0.9929	0.9136	1.1381	1.166	0.9674	1.4308	0.9549	1.3747	1.1192	0.8265	0.927	1.9842	1.3189	1.2866	0.5596	0.7275	0.5425	0.5618	1.0324	0.8639	0.9521	0.9041	1.1869	1.5238	0.8646	0.777	0.7801	1.0058	1.2209	1.1283	1.063	1.3431	0.9343	1.8412	0.8111	0.9035	1.8196	1.6932	0.9555	0.8969	1.1093	0.6007	1.4349	1.0375	0.7193	1.0107	0.784	1.0663	1.0913	1.2847	0.7378	0.4913	0.7543	0.5951	0.7709999999999999	0.95	0.5306	0.9695	0.5485	0.5963	0.9633	0.9942	0.8071	0.752	0.9647	1.6503	0.8659	1.003	1.4248	1.0223	1.1241	1.0223	1.2525	1.2852	0.8614	1.1191	0.8955	1.0603	1.0526	0.8924	0.9357	1.746	0.8689	0.8778	0.9545	1.0345	0.9646	0.8246	0.8827	1.1501	1.1406	0.9455	0.7096	0.8202	0.9824	0.9642
100002417	5.4989	5.6237	2.9216	0.3818	1.0107	0.3691	0.9509	6.9103	1.9384	0.35600000000000004	0.1904	0.1781	4.2398	2.4969	1.976	1.9962	1.5364	0.7143	0.4072	0.6207	1.4982	1.6113	3.445	0.1447	5.6316	2.2831	2.7306	0.7917	1.2498	2.0807	5.341	1.1767	1.4941	1.1119	0.7159	4.3696	7.0857	0.3601	2.7345	2.0231	0.6186	0.9096	1.4627	0.3149	0.4576	0.212	0.7255	0.348	0.6487	0.5204	1.3321	2.4116	2.5507	2.1589	0.1681	0.2494	0.3323	0.9219	2.0351	0.503	0.8124	2.1122	0.2798	0.25	3.3231	4.7497	1.4441	0.6812	0.3868	0.5719	3.7722	0.8881	0.7608	0.2489	0.8439	0.6972	1.8923	1.4485	1.4231	0.8690000000000001	0.7088	0.5759	0.0582	1.8163	0.7588	2.5406	1.8301	3.7485	0.6773	8.136000000000001	0.8534	3.0211	1.2904	0.6886	2.5786	3.7019	0.2698	0.5341	1.7154	3.0373	0.1324	0.1448	0.6936	0.6077	0.5051	0.6271	3.2224	6.6193	2.0274	0.1943	0.9414	0.6763	2.4505	0.2323	0.7224	0.1779	0.8468	1.2521	0.5128	1.0491	3.6012	0.3594	0.5216	4.4736	4.3234	2.0191	0.1641	0.9208
